sn,date_posted,job_title,industry,state,state_name,resume_href,id,emp_type,availability,desired_wage,work_auth,job_level,will_travel,edu_level,will_reloc,objective,exp,edu,skills,add_info
15,12/12/2018,accountant,Accounting,MN,Minnesota,/job/view-resume-81689.html,81689,Full-Time Permanent,,,Yes,Experienced with over 2 years experience,"Yes, 25-50%",Masters,Yes,"Highly organized and results-driven professional, interested in pursuing a challenging position in accounting field to effectively utilized skills and qualifications gained from broad-based experience in project management, credit analysis, database management, and customer service. Knowledgeable of mortgage loan processes, involving Federal Housing Administration (FHA), Veterans Affairs (VA), and conventional loans. Armed with strong interpersonal aptitudes with excellent capability in coordinating with clients and other individuals to ensure high-quality and timely completion of designated responsibilities.","Cup Foods (Family-Owned Small Business)  Minneapolis, MN Purchasing Agent 	2011–PresentQuestar Assessment, Inc.  Apple Valley, MN							         Test Scorer, Arkansas Benchmark Math Assessment 	2011Wells Fargo Home Mortgage  Minneapolis, MN [2009–2010]Mortgage Loan Specialist 	 2010Member of Business Services Group (BSG) 	2009Metropolitan State University  St. Paul, MN IT Support StaffWells Fargo Home Mortgage  Minneapolis, MN Title Review Specialist | Direct Bill Specialist Conseco Finance, HealthPartners, and Minnesota Life Insurance Company  St. Paul, MN Administrative and Computer Specialist","Master of Business Administration with Concentration in Accounting, 2016Metropolitan State University  St. Paul, MNBachelor of Arts in Computer Information Systems, Minor in Management Information SystemsMetropolitan State University  St. Paul, MN"," Accounting and Finance OperationsDrove efforts in fulfilling pre-closing procedures, encompassing housing and urban development (HUD) title review, direct bill account identifications, and wire transfers of monetary funds.Took charge of arranging and retaining direct bill accounts, as well as analyzing client-specific procedures.Handled loan processing and closing across the nation, while maintaining active communication with customers and title and closing agents.Keenly evaluated electronic files to ensure appropriate fund allocation and distribution.Guaranteed strict compliance with company requirements by facilitating overall judgments, liens, and mortgages.Thoroughly assessed mortgage titles and entered customer information in Microsoft Access database. Core Business ProcessesExpertly utilized SuperValu retail applications in placing online store orders and assessing allowances of specific items.Expedited better business and customer support decisions through easy access to various reports including store invoices, weekly retailer statements, price books, add planners, and order guides.Closely coordinated with the title company in recognizing and addressing issues. Continuous Process Improvement Oversaw the development, maintenance, and modification of the point-of-sale retail enterprise automation functionality.Made use of ECRS CATAPULT interface function generator technology to facilitate discounts and present item and menu keys in accordance with the business.Employed newly introduced Horizon application based on request of the Marketing Support Group. Growth and Development Impacts Received recommendation from the management to administer additional department assignments for demonstrating excellent work performanceSuccessfully surpassed loan quotas in closing home mortgages and increased closings by two folds in July.Won two Certificate of Excellence awards for outstanding performance and professionalism.",
16,11/29/2018,accounting,Accounting,OH,Ohio,/job/view-resume-81652.html,81652,Full-Time Permanent,12/1/2018,50000,Yes,"Management (Manager, Director)",,High School/Equivalent,No,Seeking a management position offering new challenges,"DATES FROM 05/1997 TO 11/2018OFFICE MANAGER, SHADETREE COOL LIVING, LLCResponsible for all aspects of accounting, payroll, accounts receivable, accounts payable and financials, this also includes maintaining and filing sales tax returns in multiple statesSet up new employees with all necessary log ins/emails, assigning proper rights per positionDeveloped & maintained software for meeting needs of assembly plant, including custom production orders and tracking of inventoryCreated reports from database for Sales, Marketing, Production and Inventory needsOrganize and prepare schedules and procedures for production of manufactured goodsMaintain network system, including all software and hardware on all PC’s and serverDATES FROM 10/1977 TO 5/1997ACCOUNTING SUPERVISOR, BAREFOOT GRASS LAWN SERVICE, INC              HEADQUARTERS FOR OVER 100 MARKETS Supervise accounting staff, which included all aspects of their responsibilities and employmentSetup tools and procedures for organizing all financial data including financial reports, network system and softwareAssist CFO in yearly audit, working closely with auditorsAnalyze monthly accounts, responsible for accuracy and integrity of reportsImplemented transition of manual accounting system to mainframe computer in 1979 and then to a PC based Network system in 1994Responsible for all aspects of a fleet of 1700 vehicles nationwide","I had the honor of starting in two different start-up companies, so I have assisted in all aspects of opening both businesses.  This included hardware and software choices, flow charting operations and employment to financials.  ",,
17,11/25/2018,accountant/auditor,Accounting,SD,South Dakota,/job/view-resume-81648.html,81648,Full-Time Permanent,,60000,Yes,Experienced with over 2 years experience,"Yes, 25-50%",Bachelors,Yes,"Dedicated, results-focused, and goal-driven professional, with hands-on experience in diverse aspects of accounting; complemented with strong knowledge of business development. Display knowledge of accounting transactions and tax management, while maintaining compliance with set-forth standards and regulations. Exemplify effectiveness in working with several industry professionals to ensure proper execution of assigned duties. Demonstrate proficiency in using Microsoft Office PowerPoint.","Pizza Hut | Rapid City, SDDriver Trainer	2015–PresentNewspaper Delivery | Rapid City, SDCo-owner	2014–2015Delivery Service | Rapid City, SDCo-owner	2012–2013Internal Revenue Service | Rapid City, SDInternal Revenue Agent, Small Business; Self-Employed	2005–2012Karen Simmons, CPA, PC | Sturgis, SDInternshipBlack Hills State University | Spearfish, SDPeer Tutor","Bachelor of Science in Professional Accountancy, Black Hills State University | Spearfish, SD","Internal Revenue Generation | Regulatory ComplianceProvided guidance to taxpayers on tax law, regulations, and needed information to guarantee future tax compliance.Identified accurate federal tax liabilities by evaluating and auditing individual, business, flow-through, and corporate tax.Assessed compliance with technical requirements implemented by the Internal Revenue Code.Conducted research of less common tax law to ensure appropriate application of multiple types of tax returns.Tax Revenue ManagementProficiency utilized tax preparation software to research and organize responses for tax correspondence, while observing on-time filing of all paperwork.Analyzed tax returns for potential fraud.Maintained active interaction with taxpayers, tax attorneys, and certified public accountantsHeld responsibility in preparing income, property, and sales for use with tax returns at federal, state, and local level.Accounting and Finance PrinciplesDemonstrated skills in teaching various accounting subjects including Principles of Accounting I and II, Intermediate Accounting I and II, Income Tax Accounting, Advanced Corporate Tax Accounting, Managerial Accounting, Business Finance, and Advanced Corporate Finance.",
18,11/15/2018,administrative bookkeeper office manager ,Accounting,MN,Minnesota,/job/view-resume-81625.html,81625,Full-Time Permanent,11/19/2018,Open ,Yes,"Management (Manager, Director)","Yes, 25-50%",High School/Equivalent,Yes,"Very personable, highly motivated and proactive Office Bookkeeper Manager with many years experience in fast-paced office environments helping businesses thrive and grow. Focused, driven and committed to going above and beyond to exceed expectations and achieve company goals.","JANUARY 2017 – OCTOBER 2018Office Bookkeeper Coordinator Magna Financial, Saint Cloud, MN•	Assisted in the successful launch, development and organization of a new office location.•	Planned, implemented and managed all tasks focused on growing new team quickly through daily interviewing, hiring events and training.•	Setup numerous new processes and systems to streamline tracking financial, payroll, human resource and business records efficiently.•	Developed company manual, new hire and training materials to assist in orientations.•	Achieved 2nd place out of 68 offices nationwide for number of new hires and 1st place for new hire retention within 2 months of opening and maintained both rankings.•	Successfully reduced initial training time for new employees from 4 days to 1 ½ days through implementation of new materials and resources.SEPTEMBER 2013 – DECEMBER 2016Office Bookkeeper Manager Brenan Transport, Saint Cloud, MN•	Proactively managed all financial, business, compliance and human resource records.•	Provided full-service weekly employee payroll and completed all required payroll reporting.•	Handled all AR /AP activities including invoicing, receivable financing, collections and reconciliation flawlessly.•	Created budgets, cash flow projections and key financial reports that enabled the ability to proactively monitor business daily to enhance probability. •	Streamlined all bookkeeping and compliance tracking which increased overall efficiency, productivity and profitability within first week.•	Established procedures for credit and collections reducing delinquent accounts by 45%.•	Developed a unique revenue tracking system in Excel that provided owner with vital revenue information critical to maintaining positive cash flow. NOVEMBER 2011 – SEPTEMBER 2013Operations Dispatch Manager PF Trucking, Saint Cloud, MN•	Managed all bookkeeping, DOT compliance, dispatch and office tasks effectively in a fast-paced environment.•	Organized and maintained all financial, payroll, business & compliance records while providing flawless AR/AP management.•	Provided a phenomenal client experience with all vendors, carriers and drivers that remained focused on strengthening and building long-term business relationships.•	Awarded Carrier of the Year by largest client resulting in additional revenue opportunities.•	Implemented new processes and procedures that streamlined financial, human resource, maintenance and compliance tasks improving productivity.•	Created 2 extensive Excel spreadsheets that captured specific data necessary to provide valuable information to enable owner the ability to make better informed business decisions.FEBRUARY 2005 – AUGUST 2011Director of Partner Success ProfitSee, Chanhassen, MN•	Adeptly managed relationships with 40+ business’ owners, exceeding expectation by providing valuable insights through impeccable bookkeeping, proactive financial analysis and reporting.•	Demonstrated strong leadership skills and ability to create focused and driven teams that continuously exceeded team goals.•	Partnered with CEO and CFO to create and track monthly budgets, cash flow and revenue.•	Obtained a broader understanding of financial management principles and strategies from a global prospective through growth of relationships with clients in Australia, New Zealand and UK.•	Cultivated relationships with vendors and service providers •	Successfully planned, organized and implemented SalesForce to better manage clients and sales.•	Created content for a series of short online webinars that increased engagement with new clients faster, resulting in a much shorter ramp up time to full revenue potential.","MAY 2001DiplomaTechnical HS, Saint Cloud, MNGraduated with a 3.7 GPA.","•	Exceptional knowledge of principles and practices of bookkeeping, accounting and payroll activities.•	Excellent written and verbal communication skills aimed at creating and maintaining positive professional working relationships with co-workers and clients.•	Strong leadership and management abilities to motivate and direct teammates effectively.•	Outstanding organizational, time-management and planning skills with superior attention to detail.•	Skilled in Human Resource and payroll activities with proven success hiring, training and managing new employees.•	Excel in resolving challenges with innovative systems and processes that increase efficiencies.•	Unique strategic thinking skills and problem-solving ability to provide action-oriented solutions.•	Tech savvy and highly skilled in using technology to support bookkeeping and office activities.•	Extremely proficient in Microsoft Office, QuickBooks, Xero and Salesforce.",
19,11/7/2018,accountant,Accounting,AR,Arkansas,/job/view-resume-81603.html,81603,Full-Time Permanent,,50000,Yes,Experienced with over 2 years experience,"Yes, 25-50%",Bachelors,No,"Multifaceted, results-oriented, and performance-focused professional, offering extensive experience in accounting encompassing functions such as accounts receivable, accounts payable, and bank reconciliation. Exemplify expertise in planning and implementing projects through analytical thinking, problem-solving, and decision-making capabilities. Demonstrate strong work ethic in accomplishing duties and responsibilities within strict deadlines and pressure-driven environments. Possess articulate communication and interpersonal skills in cultivating relationships with various levels of individuals.   ","Littlefield Retail Group, Fort smith, ARAccountant | Pricebook Administrator	2015–2017Assumed responsibility in managing retail pricing for 14 convenience storesProvided support to all aspects of retail accounting system of the companyAddressed various concerns raised by personnel with regard to operation of PDI/EnterpriseTook full charge of preparing and reviewing financial reporting; as well as planning, executing, and overseeing the inventory programConducted several social media programs as social media administrator for Facebook pages and mobile applicationFunctioned as graphic designer and creator of different brochures, flyers, and in-store and mobile application couponsAlma School District, Alma, ARAccounting Intern	2014Rendered assistance to the district treasurer in administering accounts payableHeld accountability in categorizing and converting fixed assets into an updated softwareHandled compilation of utility costs for the previous fiscal year toward identification of areas for cost reductions; as well as assessment of employee mileage reimbursements to check feasibility of leasing the vehiclesDenny Oil Co., Nacogdoches, TXPricebook Administrator | Sales Assistant	2008–2011Drove planning and implementation of the Pricebook project for the 18 convenience storesFacilitated auditing for day-to-day paperwork from convenience storesServed customer service liaison, in charge of providing assistance with customer’s contractPerformed accounts payable and receivable and billing of fuelMaintained retail pricing for 18 convenience stores, which resulted in profitabilityEverstone Pavers L.L.C., new Orleans, LAOffice Manager	2007–2008Oversaw accounts payable and receivable and prepared monthly inventory reportingManaged the procurement of raw goods and negotiation of the lowest cost to obtain company savings","Bachelor of Business Administration in AccountingUniversity of Arkansas, Fort Smith, AR – AACSB AccreditedPhi Theta Kappa Honor Society Member | Sigma Beta Delta Honor Society MemberFirst National Bank Collegiate Ambassador Board 2013–2014",Inventory and Financial Reporting Management | Auditing | Cost NegotiationDatabase Administration | Client Relations | Program and System Optimization,
20,10/23/2018,accounting clerk,Accounting,NY,New York,/job/view-resume-81556.html,81556,Part-Time Permanent,,,,New Grad/Entry Level,,Bachelors,,,"Misr el Kheir                                                                                                             Alexandria, EGYPTInternational Intern                                                                                                 (May 2018-Sep 2018)•	Compiled and analyzed daily receivable reports due for review by CEO, Executive director, and leadership teams•	Responsible for receiving, reviewing, and posting all accounting records of bonds, unaffiliated equities, and certain short terms•	 Performed general accounting functions, including preparation of journal entries, account analysis, and balance sheet reconciliations•	Accurately reconciled bank statements to clients’ books and prepared financial statements, payroll, and quarterly reports•	Recorded daily journal entries for assets and liability accountsThe Atlantic Group							                            New York, NYAccounts Payable clerk; Temporary					                	(Mar 2017)•	Reviewed and coded all invoices, ensuring appropriate documentation, approvals, and any discrepancies, were resolved•	Printed and obtained signatures on all accounts payable checks Resala										Alexandria, EGYPTInternational Intern	                                                                                    	(May 2016-Sept 2016)•	Prepared, updated customer files with invoices, payment received, and payment pending•	Resolved account discrepancies by evaluating and approving investigations, resolved special cases, and authorized stop-payments •	Sharpened the 3-way P.O matching invoices, up to 100 plus line items•	Assisted in the preparation of financial statements, budgets, and necessary reports7th and Madison Extensions of Empowerment 	 	 	 	Newark, NJ Finance Intern 	 	 	                          (Sep 2015 – Apr 2016) •	Entered financial data including vendor invoices and journal entries using specialized accounting software- Financial Edge•	Entered cash and credit card receipts into US check log and completed bank deposit slips•	Secured financial information by completing database backups and keeping information confidential•	Assisted AP and CFO for filing documents•	Spearheaded process payroll by using QuickBooks•	Handled and prepared bi-weekly check run and manual checks for urgent payments","Rutgers University 	 	 	 	 		                                                  Newark, NJ 	  Bachelor of Arts in Public Service Specialization in Public and Nonprofit Administration Minor in Accounting		                Graduated: May 2016 Major GPA: 3.0 / 4.00  Brookdale Community College 	 	 	 	 		                        Lincroft, NJ 	 Associate of Arts in Business Administration 		                Graduated: May 2012 ","•	Computer and Technology:  Microsoft Word, Outlook, QuickBooks, PeopleSoft, MS Excel, Peachtree, Data entry•	Accounting: Account Payable, Account Receivable, General Ledger, Journal Entries, Payroll, General Ledger, Concur, Raiser’s Edge, Black baud’s Financial Edge, Bank Reconciliation, Bookkeeping•	Vendor and Customer service: invoicing, billing, check processing, financial reporting, cash receipts•	Soft: detail oriented, oral and written communication, time management, decision making, analytical, multitask, planning, proofreading, confidentiality, customer service, interpersonal•	Languages : Fluent in oral and written English & Arabic; working proficiency in Fren",
21,9/18/2018,financial controller,Accounting,NJ,New Jersey,/job/view-resume-81455.html,81455,Full-Time Permanent,immediately,100000,Yes,"Management (Manager, Director)",,Masters,No,"Goal-driven and analytical professional with broad-based experience in managing internal controls and financial operations;  backed with expertise in accounting functions, financial analysis, budgeting and forecasting, risk management, and auditing. Recognized as a top-ranking financial professional, with proven ability to establish global and complex organizational strategic partnerships with key stakeholders to guarantee efficient coordination of internal controls and processes.  Meticulous in dealing with and analyzing data, processes, and systems to identify areas for improvement, as well as to execute the necessary modification. Strict at enforcing compliance with company policies and other regulations, such as Financial Accounting Standards (FAS) 109, FIN 48, and Sarbanes Oxley (Sox/J-SOX) and beyond.","Diadeis Inc. / Diadeis New York LLC - New York, NYFinancial Controller	2012–PresentEffectively carry out financial and accounting functions for a packaging and visual merchandising company producing an approximately $22M annual salesPerform expanded duties, including financial statements preparation, cash flow analysis, budgeting, forecasting, and credit lines management for the parent and subsidiary companyAdminister the hiring and monitoring of accounting staff of, while executing performance evaluations, merit increases, promotions, and developmental/disciplinary actions as neededServe as integral part of the Management Team by contributing in the development of strategic plans that consider and align with the global direction, for expense forecasting, tax planning, cash management, and investment initiativesAct as corporate liaison with lenders and auditors of international big 4 accounting firm, internal revenue service (IRS), New York state,  lending auditors and beyond.Oversee the monthly and yearly closing and reconciliation of books and all journal entries Closely work with the foreign parent company in processing intercompany transactions and monthly financial dataEstablish and enforce internal control policies and proceduresCoordinate with global parent company in France in dealing VAT tax, while controlling cost with related companies across India, France, Mauritius, and SwitzerlandDesign and deploy job costing initiatives for month-end reports, which presented a client true profitCareer Highlights:Designed and implemented strategic business plan and spending guidelines, in collaboration with the chief financial officer (CFO) and chief executive officer (CEO) that substantially decreased indirect spending by $1M in 2017Minimized the overall payroll process time for the US Region, from two days to a half-day Successfully accomplished the 2017 financial year without any audit adjustments from external auditorsDirected all financial aspects of company division sales to a foreign entity, while selling company twice in its entiretyPlayed a leadership role in multi-faceted successful company transitions to a new enterprise resource planning (ERP) system and accounting systemTaxes Plus LLC - Nyack, NY Managing Partner	2006–2017Offered and completed monthly bookkeeping, recreation of books, tax planning, fraud analysis, assets management, federal and state tax preparation, and miscellaneous accounting functions to individuals and business entitiesGenerated balance sheet statement, financial statements,  and yearly recommendations for high net-worth individuals on a monthly and quarterly basis for high net-worth individualsHandled the preparation of various financial and accounting documents such as:Detailed spreadsheets that presented individuals taxable and nontaxable income for federal audits;Federal income tax forms, including  990, 1040, 1120, 1120S, 1065, 1041, and 1042 forms;Payroll forms, such as W2, W3, 940, 941, 1099-MISC, and any additional state forms.Managed all bookkeeping functions for multiple nonprofit organizations, while organizing and documenting all assets upheld by individuals, corporations, and nonprofit organizationsConducted research on tax law for high net-worth individual’s personal returns and their additional entities, such as s-and c-corporations, partnerships, and trustsTook charge of computing all quarterly federal payments for all clientsSelecto Holdings LLC - Blauvelt, NY Chief Financial Officer | Human Resources Coordinator – Manufacturing and Distributing	2008–2012Assumed full accountability in securing the accuracy and integrity of all financial information and systems for general merchandise manufacturing organizationSupervised the recruitment and training of staff, along with the updates of financial and administrative infrastructure in accordance with shareholders requirementsSpearheaded and prioritized key responsibilities, which included budgeting, forecasting, financial planning and analysis, financial accounting, financial reporting, management and business metrics reporting, tax, treasury, and all general accounting functionsManaged the recruitment and team allocation of geographically dispersed staff with diverse culturesLed the generation and deployment of the first annual budgetCollaboratively worked with all department and senior management for the development and implementation of budget process that involved presentation of a final budget approved by the CEO and Board of DirectorsCompleted weekly forecasting of financial results against budgetAttracted and recruited “A” talent through the formation and implementation of compensation and benefits package Created employee manual that defined the overall company human resource policies, procedures, and benefitsCareer Highlights:Provided expert direction to the company in designing strategic plans that significantly minimized monthly expense burn rate by ~35%Instituted the in-house training department that was focused, and delivered on time and cost, including end-user trainingZimmerman, Zeigler & Chamberlain CPA - Fort Lauderdale, FLTax Accountant | Auditor –Part-time during Tax Season	2006–2008Held responsibility in compiling all data and preparing all United States income tax provisionPerformed financial statement audits and compilations of $300K to $10M in revenue for nonprofit and for-profit entitiesAdministered the assessment of internal controls and general ledger, along with preparation and adjustment of journal entriesIndependently managed the execution and completion of financial statement audits, in accordance with assigned budget and all required timeframes through Prosystem Fx EngagementGenerated financial statements and disclosure notes, while adjusting journal entries, accruals, fixed asset schedules, and management reportsEnforced and strictly adhered to all Fund Accounting, Financial Accounting Standards (FAS) 109, FIN 48, and Sarbanes-Oxley Act (SOX)  standardsEarlier Career Internal Revenue Service - Plantation, FL Small Business/Self-Employed Revenue Agent	2004–2006Nova Southeastern University - Fort Lauderdale, FLManager | Accountant of Loan Disbursing	2000–2004","Master of Accounting| GPA 3.74 - Nova Southeastern University, Fort Lauderdale, FLBachelor of Science in Accounting| GPA 3.77 - Nova Southeastern University, Fort Lauderdale, FL","Microsoft Office ApplicationsWord, Excel, Outlook, Access, Advanced Excel (Pivot Tables, VLOOKUP, SumIFs)Software and SystemsQuickBooks (Starter, Pro and Premier), Quicken, Peachtree, Solomon, Sage, Google Applications, CCH Tax Research, COMET, FileMaker, ADP/Paychex Software,  FRx Report Designer, Prosystem Fx, ProSeries, Microsoft XP, Vista and 7, EFI Pace, NetSuites, Concur, Match Index",
22,9/16/2018,accountant/bookkeeper,Accounting,MD,Maryland,/job/view-resume-81439.html,81439,Full-Time Permanent,ASAP,"50,000",Yes,Experienced with over 2 years experience,"Yes, Less Than 25%",Certificate,No,"•	Working towards changing my career to the accounting field","MANAGEMENT•	In charge of the installation crew and property management crew at both of my current companies.  Keep track of expenses and payables.ACCOUNTING•	Previously held bookkeeping position for Studwick (2008-2010) a company that focused on money management and property management & sales in Costa Rica •	Worked in the cash office for Sam’s Club (2004-2006)COMMUNICATION•	Experienced public speaker.LEADERSHIP•	Held a leadership position for many past and current employers.  Took the lead for learning team projects for several classes at the University of Phoenix.","CURRENTLY ENROLLED AT THE UNIVERSITY OF PHOENIX•	Major: Accounting•	4.0 GPA•	Quickbooks Pro CertificationCURRENTLY ENROLLED IN THE H&R BLOCK TAX PREPARER COURSE1997-1999 | TOWSON UNIVERSITY•	Major: Accounting•	Minor: Computer Information SystemsAA DEGREE | 1995-1997 | ESSEX COMMUNITY COLLEGE •	Major: Accounting","•	In charge of the installation crew and property management crew at both of my current companies.  Keep track of expenses and payables.",
23,8/27/2018,account manager,Accounting,IN,Indiana,/job/view-resume-81377.html,81377,Full-Time Permanent,,50000,Yes,"Management (Manager, Director)","Yes, 25-50%",Bachelors,Yes,"Versatile and goal-driven professional, equipped with extensive experience and proven record of success in sales and account management, with background in delivering quality in-service and product. Adept at exceeding sales targets and developing long-term relationships capture new business opportunities to achieve and exceed goals. Known for strong work ethic and professional demeanor; able to manage and accomplish various responsibilities within deadline.  ","UPNEST, Indianapolis, INAccount Executive	2017–PresentAdhere to sales process on warm leads in developing a continuous rotating portfolio of business which include proactive communication with clients until home is under contract, capturing upsell opportunities, recruiting top agents into platform, and assisting them in utilizing the site and remote environmentAssume full accountability in prospecting and creating new business relationships with top real estate brokerage across the United StatesApply excellent communication skills in negotiating with agents on behalf of home owners to generate salesConduct an average of 60 outbound client-focused calls on a daily basisMakes sound recommendation to engineers and the Product Team to streamline processesKey HighlightsPlayed a vital role in tripling the total company revenue in 2017 as an active member of the Sales Development TeamAchieved and surpassed goal 9 out of 11 months with an average of 18% conversion rateANGIE’S LIST, Indianapolis, INClient Success Manager	2015–2017Oversaw business portfolio of assigned accounts, which entailed retention of advertisers and renewal of their contract, generation of upsell opportunities, and development of eCommerce offersManaged book of business of more than 350 service provider accounts amounting to more than $1.4MBuilt strong account relationships by understanding customer needs and surpassing customer expectationsPresented service offerings to current advertisers to maximize return on investment (ROI) and drive customer service and retentionKey HighlightsDrove efforts in achieving and exceeding sales goals, 23 months out of 27 monthsShowed exemplary performance and strong work ethic, thus achieving the following:Mentality Award in June 2015 and nomination in June 2016;Performance Award for highest renewal rate in August 2016;Integrity Award in March 2017;Lions Club for highest achievement in the Client Success Department;Stan’s Club for top 10% in the department in 2015;Stephan’s Club for top 20% of the quarter/ half five times; andHighest attrition percentage (204%) in account management P2 in 2015Member Services and Sales Representative	2013–2015Held responsibility for the renewal and retention of current memberships, along with development of new memberships and delivery of first-rate customer servicePerformed a wide array of tasks, such as answering inbound customer service and sales calls to provide quotation to new business and renewals; executing reviews or changes, and maintaining accounts that requested cancellationDelivered outstanding customer service experience through application of quick computer navigation and organizational skillsExercised sound judgment in resolving customer issues and problemsMentored colleagues regarding expectations and protocolsKey HighlightsDemonstrated first rate performance that led to the achievement of the Stephan’s Club Award for positioning at the top 20% of the quarter five timesCapitalized on industry expertise in selling the highest lifetime memberships in the department within nine monthsExemplified effectiveness in maintaining top performer position in the department for 2014 fiscal year","Bachelor of Science in Marketing, In Progress (Expected Completion Date: Mar 2020)Western Governors University, Salt Lake City, UT (Online)Associate of Applied Science in Design Technology and Architecture, 2011Ivy Tech Community College, Indianapolis, INCoursework toward Medical Assistant Program, 2003Kaplan College, Indianapolis, INCoursework in Women’s Studies, 2003Ball State University, Muncie, IN ",Product Upsell | Portfolio Management| Training and Supervision | Continuous ImprovementTeam Leadership | Customer Service | Problem Resolution| Cross-functional Collaboration ,"Training:Lushin Sales TrainingActivities:Habitat for Humanity| Lunch Buddies w/ IPS #14 |Christamore House Thanksgiving Dinner Preparation Technical Skills:SoftwareMicrosoft Office Suite (Word, Excel, PowerPoint, and Outlook) | Lotus Note | Oracle | SalesforceSalesforce Lightening | Gainsight | Lessonly | Pardot | SAP | Adobe Photoshop | AutoCADSystemsWebEx | Skype | join.me | FaceTime | Loom | Zoom "
24,7/12/2018,accounting,Accounting,CT,Connecticut,/job/view-resume-81211.html,81211,Full-Time Permanent,ASPA,"50,000",Yes,Experienced with over 2 years experience,"Yes, 25-50%",Bachelors,Undecided,"To utilize my training, experience and interpersonal skills in a position which affords both personal and professional growth as a team player and problem solver. I am looking for an opportunity to help other around me succeed and grow.  ","09/16- 06/18Office Coordinator | Balchem, SECS | Lincoln NE Answer phone, assist customers, employee, and senior management, receive and maintain completed purchase orders of raw and material goods, assist warehouse and buyers in scheduling income shipments, pricing and purchasing of equipment, assist HR with helping employees and documenting training, audit files for other departments, assist QA in document control, backup for shipping and billing, as well as inventory control. 09/14- 03/16 Cost Accounting | DCG-PMI | Bethel CT Account Payable, Account Receivable, Payroll, Checks Runs, Assist Customers with their Accounts, Hiring of new employees, Benefits and 401K, assist in training and updating employee training, Employee files, Cost Accounting, Account Analysis, Monthly Reports (cost of sales, Inventory Cost, Purchase Price Variance, Monthly Accruals, and Inventory Control. 06/13- 06/14 Manufacturing Planner | Teledyne ISCO | Lincoln NE Creating/planning Manufacturing orders - 50+ daily on average Microsoft Dynamics AX – main software used Inventory Control – Physical counts and resourcing discrepancies Expediting production orders – Locating, prioritizing, and rescheduling jobs. Inventory audits.  Assist with projects for management, analysis job usage and waste. ","Education Doane College, Lincoln, NE Bachelor in Accounting | May 2013 GPA  3.912 | Payroll, Quickbooks, Income Tax, Microsoft Office  ",,
25,7/5/2018,accountant/financier,Accounting,MD,Maryland,/job/view-resume-81189.html,81189,Full-Time Permanent,,55000-70000,Yes,New Grad/Entry Level,"Yes, Less Than 25%",Bachelors,No,"Analytical and goal-driven individual, offering hands-on experience in finance management, cost accounting, tax preparation, and customer service. Effective at preparing statistical records, handling information requests, and performing various office tasks. Equipped with well-honed communication, management, negotiation, multitasking, and problem-solving skills. Highly capable of working within fiercely competitive and fast-paced environment without compromising quality and results.  Bilingual in English and French. Technically proficient with Microsoft Office Suite (Word, Excel, and PowerPoint), QuickBooks, TaxSlayer, and TaxWise.","VITA Program ▪ Montgomery County, MD, USATax Preparer	2017–PresentTake charge of arranging individual tax; analyzing and approving tax documents; and interpreting French into English.Check, modify, and file tax for past years of citizens.Thoroughly assess paperwork with taxpayers.Complete training on how to file a tax for citizen with low income in the community.Community Support Services (CSS) ▪ Gaithersburg, MD, USAStaff Accounting Intern	2016Arranged monthly bank reconciliation and compound journal entries with supporting information.Demonstrated adeptness in analyzing the following:More than 550 customers subsidiary accounts to the monthly general ledger;Documentation with hundreds of expense reports to the approved budget; andDiscrepancies in accounts through Excel, which assigned by the supervisor.Encoded data in various software applications, which included Excel, Word, Microsoft Dynamics, and CMS 1500.Rendered assistance in assessing more than thousand accounts payable documentation with regard to financial audit of nonprofit organization.Assumed full accountability in maintaining accounting records by creating copies and filing documents.Collected data and broke down portable document format (PDF) files within individual documents in Word, which served as paper documentation for subsidiary accounts.Mutual Fund IDH (Investir Dans l’Humain) ▪ Lome, TogoBranch Manager	2008–2010Documented more than 300 day-to-day accounting transactions.Administered daily cash flow of over $1M, along with a team of more than 40 employees.Held responsibility for operations and customer service in all business accounts with loan repayment.Established online account access and transactions for more than 75% of customers.Successfully increased the size of banking customers within 12 months for excellent work performance.","Bachelor of Science in AccountingUniversity of Maryland, Robert H. Smith School of Business | College Park, MD, USACertified Public Accountant (CPA) EligibleAssociate of Arts in BusinessMontgomery College | Rockville, MD, USASenior Technician Diploma in Finance and BankingUniversity of ISMAD | Lome, Togo",Account ReconciliationFinancial AnalysisAudit Review ProceduresCross-functional CollaborationStrategic Planning and AnalysisConflict and Issue Resolution,
